#miRNA	read_count
bta-miR-2329-5p	0
bta-miR-2329-3p	0
bta-miR-2329-5p	0
bta-miR-2330-5p	0
bta-miR-2330-3p	0
bta-miR-2331-5p	0
bta-miR-2331-3p	0
bta-miR-2332	0
bta-miR-2333	0
bta-miR-2334	0
bta-miR-2335	0
bta-miR-2337	0
bta-miR-2338	0
bta-miR-2339	0
bta-miR-2340	0
bta-miR-2341	0
bta-miR-2342	0
bta-miR-2343	0
bta-miR-2344	0
bta-miR-2345	0
bta-miR-2346	0
bta-miR-2347	0
bta-miR-2348	0
bta-miR-2349	0
bta-miR-2350	0
bta-miR-2351	0
bta-miR-2352	0
bta-miR-2353	0
bta-miR-2354	0
bta-miR-2355-5p	0
bta-miR-2355-3p	0
bta-miR-2356	0
bta-miR-2357	0
bta-miR-2358	0
bta-miR-2359	0
bta-miR-2360	0
bta-miR-2361	0
bta-miR-2362	0
bta-miR-2363	0
bta-miR-2363	0
bta-miR-2364	0
bta-miR-2365	0
bta-miR-2366	0
bta-miR-2367-5p	0
bta-miR-2367-3p	0
bta-miR-2368-5p	0
bta-miR-2368-3p	0
bta-miR-2369	0
bta-miR-2370-5p	0
bta-miR-2370-3p	0
bta-miR-2371	0
bta-miR-2372	0
bta-miR-2373-5p	0
bta-miR-2373-3p	0
bta-miR-2374	0
bta-miR-2375	0
bta-miR-2376	0
bta-miR-2377	0
bta-miR-2378	0
bta-miR-2379	0
bta-miR-2380	0
bta-miR-2381	0
bta-miR-2382-5p	0
bta-miR-2382-3p	0
bta-miR-2383	0
bta-miR-2384	0
bta-miR-2385-5p	0
bta-miR-2385-3p	0
bta-miR-2386	0
bta-miR-2387	0
bta-miR-2388-5p	0
bta-miR-2388-3p	0
bta-miR-2389	0
bta-miR-2390	0
bta-miR-2392	0
bta-miR-2393	0
bta-miR-2394	0
bta-miR-2395	0
bta-miR-2396	0
bta-miR-2397-5p	0
bta-miR-2397-3p	0
bta-miR-2398	0
bta-miR-2399-5p	0
bta-miR-2399-3p	0
bta-miR-23b-5p	0
bta-miR-2400	0
bta-miR-2401	0
bta-miR-2402	0
bta-miR-2403	0
bta-miR-2404	0
bta-miR-2404	0
bta-miR-2405	0
bta-miR-2406	0
bta-miR-2407	0
bta-miR-2408	0
bta-miR-2409	0
bta-miR-2410	0
bta-miR-2411-5p	0
bta-miR-2411-3p	0
bta-miR-2412	0
bta-miR-2413	0
bta-miR-2414	0
bta-miR-2415-5p	0
bta-miR-2415-3p	0
bta-miR-2416	0
bta-miR-2417	0
bta-miR-2418	0
bta-miR-2419-5p	0
bta-miR-2419-3p	0
bta-miR-2420	0
bta-miR-2421	0
bta-miR-2422	0
bta-miR-2423	0
bta-miR-2424	0
bta-miR-2425-5p	0
bta-miR-2425-3p	0
bta-miR-2426	0
bta-miR-2427	0
bta-miR-2428	0
bta-miR-2429	0
bta-miR-2430	0
bta-miR-2431-5p	0
bta-miR-2431-3p	0
bta-miR-2432	0
bta-miR-2433	0
bta-miR-2434	0
bta-miR-2436-5p	0
bta-miR-2436-3p	0
bta-miR-2437	0
bta-miR-2438	0
bta-miR-2439-5p	0
bta-miR-2439-3p	0
bta-miR-2440	0
bta-miR-2441	0
bta-miR-2442	0
bta-miR-2443	0
bta-miR-2444	0
bta-miR-2446	0
bta-miR-2447	0
bta-miR-2448-5p	0
bta-miR-2448-3p	0
bta-miR-2449	0
bta-miR-2450a	0
bta-miR-2450b	0
bta-miR-2450c	0
bta-miR-2450d	0
bta-miR-2451	0
bta-miR-2452	0
bta-miR-2453	0
bta-miR-2454-5p	0
bta-miR-2454-3p	0
bta-miR-2455	0
bta-miR-2456	0
bta-miR-2457	0
bta-miR-2458	0
bta-miR-2459	0
bta-miR-2460	0
bta-miR-2461-5p	0
bta-miR-2461-3p	0
bta-miR-2462	0
bta-miR-2463	0
bta-miR-2464-5p	0
bta-miR-2464-3p	0
bta-miR-2465	0
bta-miR-2466-5p	0
bta-miR-2466-3p	0
bta-miR-2467-5p	0
bta-miR-2467-3p	0
bta-miR-2468	0
bta-miR-2469	0
bta-miR-2470	0
bta-miR-2471-5p	0
bta-miR-2471-3p	0
bta-miR-2472	0
bta-miR-2473	0
bta-miR-2474	0
bta-miR-2475	0
bta-miR-2477	0
bta-miR-2478	0
bta-miR-2479	0
bta-miR-2480	0
bta-miR-2481	0
bta-miR-2482	0
bta-miR-2483-3p	0
bta-miR-2484	0
bta-miR-2485	0
bta-miR-2486-5p	0
bta-miR-2486-3p	0
bta-miR-2488	0
bta-miR-2489	0
bta-miR-26b	0
bta-miR-26c	0
bta-miR-27a-5p	0
bta-miR-28	0
bta-miR-2881	0
bta-miR-2882	0
bta-miR-2883	0
bta-miR-2885	0
bta-miR-2886	0
bta-miR-2887	0
bta-miR-2887	0
bta-miR-2888	0
bta-miR-2888	0
bta-miR-2889	0
bta-miR-2890	0
bta-miR-2891	0
bta-miR-2892	0
bta-miR-2893	0
bta-miR-2894	0
bta-miR-2895	0
bta-miR-2896	0
bta-miR-2897	0
bta-miR-2898	0
bta-miR-2899	0
bta-miR-2900	0
bta-miR-2901	0
bta-miR-2902	0
bta-miR-2903	0
bta-miR-2904	0
bta-miR-2904	0
bta-miR-2904	0
bta-miR-2917	0
bta-miR-2957	0
bta-miR-296-3p	0
bta-miR-299	0
bta-miR-29b	0
bta-miR-29b	0
bta-miR-29c	0
bta-miR-29e	0
bta-miR-301a	0
bta-miR-301b	0
bta-miR-302a	0
bta-miR-302d	0
bta-miR-302d	0
bta-miR-302b	0
bta-miR-302c	0
bta-miR-302d	0
bta-miR-3064	0
bta-miR-30b-3p	0
bta-miR-30f	0
bta-miR-31	0
bta-miR-3120	0
bta-miR-3141	0
bta-miR-3154	0
bta-miR-320b	0
bta-miR-324	0
bta-miR-326	0
bta-miR-328	0
bta-miR-329a	0
bta-miR-329b	0
bta-miR-330	0
bta-miR-331-3p	0
bta-miR-338	0
bta-miR-339b	0
bta-miR-33a	0
bta-miR-33b	0
bta-miR-345-5p	0
bta-miR-345-3p	0
bta-miR-346	0
bta-miR-34a	0
bta-miR-3533	0
bta-miR-3578	0
bta-miR-3596	0
bta-miR-3600	0
bta-miR-3601	0
bta-miR-3602	0
bta-miR-3604	0
bta-miR-3604	0
bta-miR-361	0
bta-miR-3613a	0
bta-miR-3613b	0
bta-miR-362-3p	0
bta-miR-363	0
bta-miR-365-5p	0
bta-miR-365-3p	0
bta-miR-365-3p	0
bta-miR-3660	0
bta-miR-367	0
bta-miR-369-5p	0
bta-miR-369-3p	0
bta-miR-370	0
bta-miR-371	0
bta-miR-374a	0
bta-miR-374b	0
