#miRNA	read_count	precursor
bta-miR-190b	6	bta-mir-190b
bta-miR-191	230	bta-mir-191
bta-miR-192	40	bta-mir-192
bta-miR-193a-5p	0	bta-mir-193a
bta-miR-193a-3p	0	bta-mir-193a
bta-miR-193a	0	bta-mir-193a-2
bta-miR-193b	0	bta-mir-193b
bta-miR-194	2	bta-mir-194-1
bta-miR-194	2	bta-mir-194-2
bta-miR-195	1	bta-mir-195
bta-miR-196a	1	bta-mir-196a-1
bta-miR-196a	1	bta-mir-196a-2
bta-miR-196b	0	bta-mir-196b
bta-miR-197	0	bta-mir-197
bta-miR-199a-5p	0	bta-mir-199a-1
bta-miR-199a-3p	0	bta-mir-199a-1
bta-miR-199c	0	bta-mir-199a-1
bta-miR-199a-5p	0	bta-mir-199a-2
bta-miR-199a-3p	0	bta-mir-199a-2
bta-miR-199c	0	bta-mir-199a-2
bta-miR-199a-3p	0	bta-mir-199b
bta-miR-199b	0	bta-mir-199b
bta-miR-199c	0	bta-mir-199b
bta-miR-199c	0	bta-mir-199c
bta-miR-19a	2	bta-mir-19a
bta-miR-19b	4	bta-mir-19b
bta-miR-19b	4	bta-mir-19b-2
bta-miR-200a	42	bta-mir-200a
bta-miR-200b	16	bta-mir-200b
bta-miR-200c	3	bta-mir-200c
bta-miR-202	1	bta-mir-202
bta-miR-204	128	bta-mir-204
bta-miR-205	0	bta-mir-205
bta-miR-206	0	bta-mir-206
bta-miR-208a	0	bta-mir-208a
bta-miR-208b	0	bta-mir-208b
bta-miR-20a	33	bta-mir-20a
bta-miR-20b	0	bta-mir-20b
bta-miR-21-5p	577	bta-mir-21
bta-miR-21-3p	0	bta-mir-21
bta-miR-210	0	bta-mir-210
bta-miR-211	12	bta-mir-211
bta-miR-212	2	bta-mir-212
bta-miR-214	0	bta-mir-214
bta-miR-215	0	bta-mir-215
bta-miR-216a	0	bta-mir-216a
bta-miR-216b	4	bta-mir-216b
bta-miR-217	0	bta-mir-217
bta-miR-218	0	bta-mir-218-1
bta-miR-218	0	bta-mir-218-2
bta-miR-219-5p	0	bta-mir-219-1
bta-miR-219-3p	0	bta-mir-219-1
bta-miR-219	0	bta-mir-219-2
bta-miR-22-5p	0	bta-mir-22
bta-miR-22-3p	60	bta-mir-22
bta-miR-221	0	bta-mir-221
bta-miR-222	0	bta-mir-222
bta-miR-223	0	bta-mir-223
bta-miR-224	0	bta-mir-224
bta-miR-2284a	1	bta-mir-2284a
bta-miR-2284aa	0	bta-mir-2284aa-1
bta-miR-2284aa	0	bta-mir-2284aa-2
bta-miR-2284aa	0	bta-mir-2284aa-3
bta-miR-2284aa	0	bta-mir-2284aa-4
bta-miR-2284ab	0	bta-mir-2284ab
bta-miR-2284ac	0	bta-mir-2284ac
bta-miR-2284b	0	bta-mir-2284b
bta-miR-2284c	0	bta-mir-2284c
bta-miR-2284d	0	bta-mir-2284d
bta-miR-2284e	0	bta-mir-2284e
bta-miR-2284f	0	bta-mir-2284f
bta-miR-2284e	0	bta-mir-2284f
bta-miR-2284g	0	bta-mir-2284g
bta-miR-2284h-5p	1	bta-mir-2284h
bta-miR-2284h-3p	0	bta-mir-2284h
bta-miR-2284i	0	bta-mir-2284i
bta-miR-2284j	2	bta-mir-2284j
bta-miR-2284k	1	bta-mir-2284k
bta-miR-2284l	0	bta-mir-2284l
bta-miR-2284m	3	bta-mir-2284m
bta-miR-2284n	0	bta-mir-2284n
bta-miR-2284o	0	bta-mir-2284o
bta-miR-2284p	0	bta-mir-2284p
bta-miR-2284q	0	bta-mir-2284q
bta-miR-2284r	0	bta-mir-2284r
bta-miR-2284s	0	bta-mir-2284s
bta-miR-2284t-5p	0	bta-mir-2284t
