#miRNA	read_count	precursor
bta-miR-326	0	bta-mir-326
bta-miR-328	0	bta-mir-328
bta-miR-329a	0	bta-mir-329a
bta-miR-329b	0	bta-mir-329b
bta-miR-330	0	bta-mir-330
bta-miR-331-5p	1	bta-mir-331
bta-miR-331-3p	0	bta-mir-331
bta-miR-335	2	bta-mir-335
bta-miR-338	0	bta-mir-338
bta-miR-339a	1	bta-mir-339a
bta-miR-339b	1	bta-mir-339a
bta-miR-339b	0	bta-mir-339b
bta-miR-33a	0	bta-mir-33a
bta-miR-33b	0	bta-mir-33b
bta-miR-340	3	bta-mir-340
bta-miR-342	5	bta-mir-342
bta-miR-3431	2	bta-mir-3431
bta-miR-3432a	48	bta-mir-3432a-1
bta-miR-3432a	49	bta-mir-3432a-2
bta-miR-3432b	1	bta-mir-3432b
bta-miR-345-5p	0	bta-mir-345
bta-miR-345-3p	0	bta-mir-345
bta-miR-346	0	bta-mir-346
bta-miR-34a	0	bta-mir-34a
bta-miR-34b	56	bta-mir-34b
bta-miR-34c	614	bta-mir-34c
bta-miR-3533	0	bta-mir-3533
bta-miR-3578	0	bta-mir-3578
bta-miR-3596	0	bta-mir-3596
bta-miR-3600	0	bta-mir-3600
bta-miR-3601	0	bta-mir-3601
bta-miR-3602	0	bta-mir-3602
bta-miR-3604	0	bta-mir-3604-1
bta-miR-3604	0	bta-mir-3604-2
bta-miR-361	0	bta-mir-361
bta-miR-3613a	0	bta-mir-3613a
bta-miR-3613b	0	bta-mir-3613b
bta-miR-362-5p	1	bta-mir-362
bta-miR-362-3p	0	bta-mir-362
bta-miR-363	0	bta-mir-363
bta-miR-365-5p	0	bta-mir-365-1
bta-miR-365-3p	0	bta-mir-365-1
bta-miR-365-3p	0	bta-mir-365-2
bta-miR-3660	0	bta-mir-3660
bta-miR-367	0	bta-mir-367
bta-miR-369-5p	0	bta-mir-369
bta-miR-369-3p	0	bta-mir-369
bta-miR-370	0	bta-mir-370
bta-miR-371	0	bta-mir-371
bta-miR-374a	0	bta-mir-374a
bta-miR-374b	0	bta-mir-374b
bta-miR-375	112	bta-mir-375
bta-miR-376a	0	bta-mir-376a
bta-miR-376b	0	bta-mir-376b
bta-miR-376c	0	bta-mir-376b
bta-miR-376c	0	bta-mir-376c
bta-miR-376d	0	bta-mir-376d
bta-miR-376c	0	bta-mir-376e
bta-miR-376e	0	bta-mir-376e
bta-miR-377	0	bta-mir-377
bta-miR-378	3	bta-mir-378-1
bta-miR-378	3	bta-mir-378-2
bta-miR-378b	0	bta-mir-378b
bta-miR-378c	1	bta-mir-378c
bta-miR-378d	0	bta-mir-378d
bta-miR-379	0	bta-mir-379
bta-miR-380-5p	0	bta-mir-380
bta-miR-380-3p	0	bta-mir-380
bta-miR-381	0	bta-mir-381
bta-miR-382	0	bta-mir-382
bta-miR-383	0	bta-mir-383
bta-miR-3956	1	bta-mir-3956
bta-miR-3957	0	bta-mir-3957
bta-miR-409a	0	bta-mir-409a
bta-miR-409b	0	bta-mir-409b
bta-miR-410	0	bta-mir-410
bta-miR-411a	1	bta-mir-411a
bta-miR-411b	0	bta-mir-411b
bta-miR-411c-5p	0	bta-mir-411c
bta-miR-411c-3p	0	bta-mir-411c
bta-miR-412	0	bta-mir-412
bta-miR-421	0	bta-mir-421
bta-miR-423-5p	4	bta-mir-423
bta-miR-423-3p	1	bta-mir-423
bta-miR-424-5p	0	bta-mir-424
bta-miR-424-3p	0	bta-mir-424
bta-miR-425-5p	74	bta-mir-425
bta-miR-425-3p	0	bta-mir-425
bta-miR-4286	0	bta-mir-4286-1
bta-miR-4286	0	bta-mir-4286-2
bta-miR-429	0	bta-mir-429
bta-miR-431	0	bta-mir-431
bta-miR-432	0	bta-mir-432
bta-miR-433	0	bta-mir-433
bta-miR-4444	0	bta-mir-4444
bta-miR-4449	0	bta-mir-4449
bta-miR-448	0	bta-mir-448
bta-miR-449a	29	bta-mir-449a
bta-miR-449b	0	bta-mir-449b
bta-miR-449c	0	bta-mir-449c
bta-miR-449d	0	bta-mir-449d
bta-miR-450a	0	bta-mir-450a-1
bta-miR-450a	0	bta-mir-450a-2
bta-miR-450b	1	bta-mir-450b
bta-miR-451	1	bta-mir-451
bta-miR-452	0	bta-mir-452
bta-miR-4523	0	bta-mir-4523
bta-miR-453	0	bta-mir-453
bta-miR-454	0	bta-mir-454
bta-miR-455-5p	0	bta-mir-455
bta-miR-455-3p	0	bta-mir-455
bta-miR-4657	0	bta-mir-4657
bta-miR-4680	0	bta-mir-4680
bta-miR-483	0	bta-mir-483
bta-miR-484	0	bta-mir-484
bta-miR-485	0	bta-mir-485
bta-miR-486	0	bta-mir-486
bta-miR-487a	0	bta-mir-487a
bta-miR-487b	0	bta-mir-487b
bta-miR-488	0	bta-mir-488
bta-miR-489	0	bta-mir-489
bta-miR-490	0	bta-mir-490
bta-miR-491	0	bta-mir-491
bta-miR-493	0	bta-mir-493
bta-miR-494	0	bta-mir-494
bta-miR-495	6	bta-mir-495
bta-miR-496	0	bta-mir-496
bta-miR-497	0	bta-mir-497
bta-miR-499	0	bta-mir-499
bta-miR-500	0	bta-mir-500
bta-miR-502a	0	bta-mir-502a-1
bta-miR-502a	0	bta-mir-502a-2
bta-miR-502b	0	bta-mir-502b
bta-miR-503-5p	0	bta-mir-503
bta-miR-503-3p	0	bta-mir-503
bta-miR-504	0	bta-mir-504
bta-miR-505	0	bta-mir-505
bta-miR-532	1	bta-mir-532
bta-miR-539	0	bta-mir-539
bta-miR-541	0	bta-mir-541
bta-miR-542-5p	0	bta-mir-542
bta-miR-543	7	bta-mir-543
bta-miR-544a	0	bta-mir-544a
bta-miR-544b	0	bta-mir-544b-1
bta-miR-544b	0	bta-mir-544b-2
bta-miR-545-5p	0	bta-mir-545
bta-miR-545-3p	0	bta-mir-545
bta-miR-551a	0	bta-mir-551a
bta-miR-551b	0	bta-mir-551b
bta-miR-562	0	bta-mir-562
bta-miR-568	0	bta-mir-568
bta-miR-574	0	bta-mir-574
bta-miR-582	0	bta-mir-582
bta-miR-584	0	bta-mir-584-1
bta-miR-584	0	bta-mir-584-2
bta-miR-584	0	bta-mir-584-3
bta-miR-584	0	bta-mir-584-4
bta-miR-584	0	bta-mir-584-5
bta-miR-584	0	bta-mir-584-6
bta-miR-584	0	bta-mir-584-7
bta-miR-584	0	bta-mir-584-8
bta-miR-592	0	bta-mir-592
bta-miR-599	0	bta-mir-599
bta-miR-6119-5p	0	bta-mir-6119
bta-miR-6119-3p	0	bta-mir-6119
bta-miR-6120-5p	0	bta-mir-6120
bta-miR-6120-3p	6	bta-mir-6120
bta-miR-6121-5p	0	bta-mir-6121
bta-miR-6121-3p	0	bta-mir-6121
bta-miR-6122-5p	0	bta-mir-6122
bta-miR-6122-3p	0	bta-mir-6122
bta-miR-6123	0	bta-mir-6123
bta-miR-615	0	bta-mir-615
bta-miR-628	0	bta-mir-628
bta-miR-631	0	bta-mir-631
bta-miR-6516	0	bta-mir-6516
bta-miR-6517	0	bta-mir-6517
bta-miR-6518	0	bta-mir-6518
bta-miR-6519	0	bta-mir-6519
bta-miR-652	0	bta-mir-652
bta-miR-6520	1	bta-mir-6520
bta-miR-6521	0	bta-mir-6521
bta-miR-6522	1	bta-mir-6522
bta-miR-6523a	0	bta-mir-6523a
bta-miR-6523b	0	bta-mir-6523b
bta-miR-6524	1	bta-mir-6524
bta-miR-6525	0	bta-mir-6525
bta-miR-6526	4	bta-mir-6526-1
bta-miR-6526	4	bta-mir-6526-2
bta-miR-6526	4	bta-mir-6526-3
bta-miR-6527	0	bta-mir-6527
bta-miR-6528	0	bta-mir-6528
bta-miR-6529a	10	bta-mir-6529a
bta-miR-6529b	0	bta-mir-6529b
bta-miR-653	0	bta-mir-653
bta-miR-6530	0	bta-mir-6530
bta-miR-6531	0	bta-mir-6531
bta-miR-6532	0	bta-mir-6532
bta-miR-6533	0	bta-mir-6533
bta-miR-6534	0	bta-mir-6534
bta-miR-6535	0	bta-mir-6535
bta-miR-6536	0	bta-mir-6536-1
bta-miR-6536	0	bta-mir-6536-2
bta-miR-654	0	bta-mir-654
bta-miR-655	0	bta-mir-655
bta-miR-656	0	bta-mir-656
bta-miR-658	0	bta-mir-658
bta-miR-660	8	bta-mir-660
bta-miR-664a	0	bta-mir-664a
bta-miR-664b	2	bta-mir-664b
bta-miR-665	0	bta-mir-665
bta-miR-669	0	bta-mir-669
bta-miR-670	0	bta-mir-670
bta-miR-671	0	bta-mir-671
bta-miR-677	0	bta-mir-677
bta-miR-7	227	bta-mir-7-1
bta-miR-7	234	bta-mir-7-2
bta-miR-7	227	bta-mir-7-3
bta-miR-708	0	bta-mir-708
bta-miR-744	0	bta-mir-744
bta-miR-758	0	bta-mir-758
bta-miR-759	0	bta-mir-759
bta-miR-760-5p	0	bta-mir-760
bta-miR-760-3p	2	bta-mir-760
bta-miR-761	0	bta-mir-761
bta-miR-763	0	bta-mir-763
bta-miR-764	0	bta-mir-764
bta-miR-767	1	bta-mir-767
bta-miR-769	0	bta-mir-769
bta-miR-7691	0	bta-mir-7691
bta-miR-7857	0	bta-mir-7857
bta-miR-7858	0	bta-mir-7858
bta-miR-7859	3	bta-mir-7859
bta-miR-7860	0	bta-mir-7860
bta-miR-7861	0	bta-mir-7861
bta-miR-7862	0	bta-mir-7862
bta-miR-7863	0	bta-mir-7863
bta-miR-7864	0	bta-mir-7864
bta-miR-7865	0	bta-mir-7865
bta-miR-8550	0	bta-mir-8550
bta-miR-873	0	bta-mir-873
bta-miR-874	0	bta-mir-874
bta-miR-875	0	bta-mir-875
bta-miR-876	0	bta-mir-876
bta-miR-877	0	bta-mir-877
bta-miR-885	0	bta-mir-885
bta-miR-9-5p	18	bta-mir-9-1
bta-miR-9-3p	0	bta-mir-9-1
bta-miR-9-5p	18	bta-mir-9-2
bta-miR-9-3p	0	bta-mir-9-2
bta-miR-92a	1	bta-mir-92a-1
bta-miR-92a	1	bta-mir-92a-2
bta-miR-92b	0	bta-mir-92b
bta-miR-93	32	bta-mir-93
bta-miR-935	0	bta-mir-935
bta-miR-940	0	bta-mir-940
bta-miR-95	4	bta-mir-95
bta-miR-96	0	bta-mir-96
bta-miR-98	0	bta-mir-98
bta-miR-99a-5p	160	bta-mir-99a
bta-miR-99a-3p	0	bta-mir-99a
bta-miR-99b	3	bta-mir-99b
